epoch,Caudal_peduncle,left_caudal_fluke,left_pect_fin_tip,loss,lr,mid_saddle_patch,right_caudal_fluke,right_pect_fin_tip,rostrum_tip,val_Caudal_peduncle,val_left_caudal_fluke,val_left_pect_fin_tip,val_loss,val_mid_saddle_patch,val_right_caudal_fluke,val_right_pect_fin_tip,val_rostrum_tip
0,0.00031724415021017194,0.0002643465413711965,0.00030817222432233393,0.0003209299175068736,1e-04,0.000435791676864028,0.00026153746875934303,0.0003161568893119693,0.00034326050081290305,0.00035106539144180715,0.00029139273101463914,0.0003115882573183626,0.0003328285529278219,0.0004110980953555554,0.0002956648822873831,0.000323198561090976,0.00034579195198602974
1,0.000318287406116724,0.00026160627021454275,0.00031067628879100084,0.0003207122499588877,1e-04,0.00043258655932731926,0.00026187862385995686,0.00032216255203820765,0.00033778775832615793,0.00034755634260363877,0.0002889805182348937,0.0003116330481134355,0.000331991323037073,0.00041023135418072343,0.00029915053164586425,0.0003229285357519984,0.00034345907624810934
2,0.00031064500217325985,0.0002540429122745991,0.0002976019459310919,0.000312396528897807,1e-04,0.0004299013235140592,0.00025487897801212966,0.0003041699237655848,0.00033553544199094176,0.00035126361763104796,0.00028923802892677486,0.0003114816208835691,0.00033350844751112163,0.00041142822010442615,0.0002949497429654002,0.00032331288093701005,0.0003528851375449449
3,0.0003097513399552554,0.00026215921388939023,0.00031490728724747896,0.0003211658913642168,1e-04,0.00043168547563254833,0.0002586976333986968,0.00032508900039829314,0.00034587125992402434,0.0003458924766164273,0.0002889735042117536,0.0003114747232757509,0.000330888491589576,0.0004083374806214124,0.0002984408929478377,0.00032271488453261554,0.0003403853625059128
4,0.00032315493444912136,0.00026405713288113475,0.00029688578797504306,0.0003165999078191817,1e-04,0.0004283284652046859,0.0002641845785547048,0.00030806014547124505,0.00033152816467918456,0.0003510360838845372,0.00029479441582225263,0.00031152652809396386,0.00033164405613206327,0.0004008146352134645,0.00029373206780292094,0.00032292696414515376,0.0003466774651315063
5,0.00031507862149737775,0.00026185333263128996,0.0003164006629958749,0.0003217176999896765,1e-04,0.0004244235751684755,0.0002639015146996826,0.0003236831398680806,0.0003466836642473936,0.0003504656197037548,0.00028910592664033175,0.00031190417939797044,0.00032989768078550696,0.0003942177863791585,0.0002956668904516846,0.0003226860717404634,0.00034523746580816805
6,0.00030833296477794647,0.00025563465896993876,0.0002992519293911755,0.0003118565073236823,1e-04,0.00042262577335350215,0.00025440461467951536,0.0003114796709269285,0.0003312662593089044,0.00035065479460172355,0.0002892025513574481,0.0003113783022854477,0.00032939924858510494,0.0003921074967365712,0.0002994378737639636,0.00032245146576315165,0.00034056243021041155
7,0.0003146920062135905,0.0002642058243509382,0.00031119416235014796,0.0003196384641341865,1e-04,0.000415521179093048,0.00026489084120839834,0.00032009900314733386,0.0003468665818218142,0.00034925946965813637,0.00029455122421495616,0.0003111923870164901,0.0003320620162412524,0.00039945656317286193,0.0003019617579411715,0.00032207625918090343,0.00034593636519275606
8,0.00032514610211364925,0.00026869188877753913,0.00030229639378376305,0.00032059699879027903,1e-04,0.0004310561635065824,0.0002659435267560184,0.00031471761758439243,0.0003363274154253304,0.0003512538969516754,0.0002953366783913225,0.000311641109874472,0.000334890530211851,0.0004126463900320232,0.0002941932762041688,0.00032291453680954874,0.0003562477068044245
9,0.0003074780688621104,0.0002552775258664042,0.00031934824073687196,0.000319231185130775,1e-04,0.0004252409562468529,0.0002564704045653343,0.0003291643806733191,0.00034163930104114115,0.00035001939977519214,0.00028912952984683216,0.0003110048419330269,0.0003306489670649171,0.00040275228093378246,0.0002945552987512201,0.00032164997537620366,0.00034543179208412766
10,0.0003129134711343795,0.00025973585434257984,0.00030389829771593213,0.00031390279764309525,1e-04,0.00041231169598177075,0.0002592839300632477,0.00031358026899397373,0.00033559650182724,0.0003516612632665783,0.0002956095850095153,0.000311601790599525,0.00033113654353655875,0.0003920058661606163,0.00029421146609820426,0.00032256345730274916,0.00035030211438424885
11,0.00030629837419837713,0.0002543578448239714,0.0003045860503334552,0.00031062832567840815,1e-04,0.00041273137321695685,0.00025307349278591573,0.00031083275098353624,0.00033251781133003533,0.0003503450134303421,0.0002946789900306612,0.0003113957936875522,0.00032990361796692014,0.00038359584868885577,0.0002945289888884872,0.00032239750726148486,0.00035238289274275303
12,0.0003181934298481792,0.000266336282948032,0.0003050125960726291,0.0003160378837492317,5e-05,0.0003922447795048356,0.0002672915579751134,0.00031577819027006626,0.000347408204106614,0.0003500291204545647,0.0002890822943300009,0.00031089744879864156,0.0003272067697253078,0.0003764440189115703,0.00029678584542125463,0.0003220450889784843,0.0003451635129749775
13,0.0003080797614529729,0.00025902054039761424,0.0003075011190958321,0.0003103500057477504,5e-05,0.0003953305131290108,0.00025725370505824685,0.0003153154975734651,0.0003299493691883981,0.0003500085149426013,0.00028921954799443483,0.00031081889756023884,0.0003253622562624514,0.00036271335557103157,0.00029405058012343943,0.0003202582593075931,0.0003504666092339903
14,0.0003124493232462555,0.00026190211065113544,0.000306961708702147,0.00031619853689335287,5e-05,0.0004180580435786396,0.0002599136787466705,0.0003165199887007475,0.0003375847591087222,0.0003510405367705971,0.0003003203310072422,0.00031139992643147707,0.00033249976695515215,0.0003959503083024174,0.0002944709558505565,0.00032261834712699056,0.00035169790498912334
15,0.00031018222216516733,0.0002579610445536673,0.0003027311759069562,0.0003119208849966526,5e-05,0.00040500133763998747,0.0002575422404333949,0.0003110391553491354,0.00033898919355124235,0.0003503656480461359,0.0002945406886283308,0.00031076566665433347,0.00032829935662448406,0.00038094964111223817,0.00029965038993395865,0.00032112712506204844,0.0003406959294807166
16,0.0003164559311699122,0.0002677755255717784,0.00031367436167784035,0.00031659711385145783,5e-05,0.00038824029616080225,0.00026319638709537685,0.00032520171953365207,0.00034163519740104675,0.0003480325103737414,0.00030007929308339953,0.000310062023345381,0.0003268670989200473,0.00036825251299887896,0.0002941020065918565,0.0003199953935109079,0.00034754592343233526
17,0.0003073645057156682,0.00025605931296013296,0.0003062530013266951,0.0003067118232138455,5e-05,0.00037485177745111287,0.00025488328537903726,0.0003139259060844779,0.00033364558476023376,0.00034931005211547017,0.0002886919828597456,0.0003101458423770964,0.00032221333822235465,0.0003476970305200666,0.0002947371103800833,0.0003200812789145857,0.00034482969203963876
18,0.00031461051548831165,0.00026222565793432295,0.0003041399468202144,0.0003092326514888555,5e-05,0.00037120599881745875,0.00025995573378168046,0.0003115298750344664,0.0003409606288187206,0.00034603732638061047,0.00029794080182909966,0.00030995687120594084,0.0003227699198760092,0.0003474394034128636,0.0002936021191999316,0.00031959754414856434,0.00034481516922824085
19,0.00031400113948620856,0.00026125682052224874,0.0003146510280203074,0.0003097323642577976,5e-05,0.0003597447357606143,0.0002596685371827334,0.00031991806463338435,0.00033888660254888237,0.0003520137397572398,0.00029458318022079766,0.0003130582335870713,0.0003285247948952019,0.0003791463386733085,0.0002975209499709308,0.00032217588159255683,0.00034117561881430447
20,0.0003178240731358528,0.00026481927488930523,0.0003048255748581141,0.0003090551763307303,5e-05,0.00034808117197826505,0.0002638022124301642,0.00031840166775509715,0.0003456322301644832,0.0003499752201605588,0.00029899890068918467,0.00031009071972221136,0.00032604875741526484,0.0003595663874875754,0.0002940381527878344,0.00031993247102946043,0.0003497394500300288
21,0.000305509747704491,0.0002564371388871223,0.00030353839974850416,0.0003035181434825063,5e-05,0.00035901356022804976,0.00025485054356977344,0.00030935503309592605,0.0003359226684551686,0.0003495589189697057,0.0002999813004862517,0.00030906236497685313,0.00032280466984957457,0.00033876168890856206,0.0002938839315902442,0.0003176860336679965,0.00035069871228188276
22,0.0003146282397210598,0.0002589516225270927,0.0003000216092914343,0.0003008801431860775,5e-05,0.0003324609133414924,0.0002567433984950185,0.0003110477118752897,0.00033230733242817223,0.0003472430689726025,0.000288605981040746,0.00030896021053195,0.00031980109633877873,0.0003355857916176319,0.0002969971392303705,0.0003178133338224143,0.00034340194542892277
23,0.00031464328640140593,0.00026664702454581857,0.000306656991597265,0.0003056822170037776,5e-05,0.00033730713766999543,0.00026444648392498493,0.00031144352396950126,0.00033863011049106717,0.00034980272175744176,0.0002993342059198767,0.0003085983917117119,0.0003202853840775788,0.00031756117823533714,0.00029635950340889394,0.0003173902805428952,0.0003529514360707253
24,0.0003101590264122933,0.00025283260038122535,0.00029852899024263024,0.00029621104476973414,5e-05,0.0003237848577555269,0.000253162783337757,0.00030813951161690056,0.00032686995109543204,0.00035234031383879483,0.0002890382893383503,0.0003086865763179958,0.0003162235370837152,0.0003093953419011086,0.0002928113390225917,0.0003173426375724375,0.0003439504362177104
