epoch,train/loss,val/loss,learning_rate,train/time,val/time,train/confmaps_loss,train/paf_loss,val/confmaps_loss,val/paf_loss
0,,0.007896322757005692,,,,,,0.005211059935390949,0.0026852632872760296
0,,0.0002862580004148185,,,,,,2.8480235414463095e-05,0.00025777777773328125
1,0.0007103125099092722,0.0002814277831930667,9.999999747378752e-05,7087.59619140625,147.0299072265625,0.00038235250394791365,0.0003320288669783622,2.4998154913191684e-05,0.00025642963009886444
2,0.00025922010536305606,0.00028068499523214996,9.999999747378752e-05,7029.48095703125,142.06565856933594,2.5243207346647978e-05,0.0002334745367988944,2.4385024516959675e-05,0.0002562999725341797
3,0.0002519275003578514,0.00028051622211933136,9.999999747378752e-05,6836.041015625,142.7132568359375,2.348798625462223e-05,0.0002307036193087697,2.41947691392852e-05,0.0002563214220572263
4,0.0002626160276122391,0.0002805644180625677,9.999999747378752e-05,6859.75927734375,142.23779296875,2.3518021407653578e-05,0.0002376306802034378,2.4151053366949782e-05,0.0002564133610576391
5,0.00025988550623878837,0.00028058455791324377,9.999999747378752e-05,6879.88037109375,142.24603271484375,2.3379969206871465e-05,0.00023670874361414462,2.414174196019303e-05,0.00025644281413406134
6,0.0002613307151477784,0.000280572974588722,9.999999747378752e-05,6868.43115234375,141.65542602539062,2.3222373783937655e-05,0.0002364168467465788,2.414912887616083e-05,0.00025642383843660355
7,0.00025726755848154426,0.0002805175317917019,9.999999747378752e-05,6846.8916015625,142.6333770751953,2.321217289136257e-05,0.00023326148220803589,2.412824505881872e-05,0.00025638932129368186
8,0.00025605125119909644,0.00028052725247107446,9.999999747378752e-05,6857.5009765625,142.02224731445312,2.3241360395331867e-05,0.00023278052685782313,2.417556788714137e-05,0.0002563516900409013
9,0.0002580828149802983,0.00028056607698090374,4.999999873689376e-05,6856.7255859375,141.8428955078125,2.3308115487452596e-05,0.0002353799354750663,2.4133789338520728e-05,0.000256432278547436
10,0.00025790638756006956,0.00028046558145433664,4.999999873689376e-05,6888.9248046875,141.7490234375,2.322462387382984e-05,0.0002341608633287251,2.412491994618904e-05,0.00025634063058532774
11,0.0002556689432822168,0.00028058543102815747,4.999999873689376e-05,6859.2158203125,142.49502563476562,2.3000160581432283e-05,0.00023326392692979425,2.4199172912631184e-05,0.0002563863235991448
12,0.0002565066679380834,0.00028044471400789917,4.999999873689376e-05,6867.62744140625,141.81622314453125,2.3199683710117824e-05,0.00023130419140215963,2.4157143343472853e-05,0.0002562876034062356
13,0.0002588331699371338,0.0002804828400257975,4.999999873689376e-05,6862.62255859375,142.447998046875,2.3234691980178468e-05,0.00023650888761039823,2.4130777092068456e-05,0.00025635206839069724
14,0.0002573773672338575,0.00028045661747455597,4.999999873689376e-05,6894.81201171875,142.9904022216797,2.3174356101662852e-05,0.00023267354117706418,2.413722722849343e-05,0.0002563194138929248
15,0.00025919239851646125,0.00028038525488227606,4.999999873689376e-05,6870.63916015625,144.89352416992188,2.3022408640827052e-05,0.0002366714325034991,2.412600770185236e-05,0.00025625922717154026
16,0.0002564465976320207,0.0002806347038131207,4.999999873689376e-05,6865.248046875,142.05064392089844,2.3216442059492692e-05,0.00023257214343175292,2.4160859538824297e-05,0.0002564738388173282
17,0.0002574015234131366,0.0002806165430229157,4.999999873689376e-05,6879.40478515625,142.54893493652344,2.3096079530660063e-05,0.00023481181415263563,2.413109723420348e-05,0.00025648545124568045
18,0.0002566794282756746,0.000280412525171414,4.999999873689376e-05,6866.8681640625,142.416015625,2.3226739358506165e-05,0.00023323381901718676,2.4153692720574327e-05,0.0002562588488217443
19,0.0002559486893005669,0.00028061788179911673,4.999999873689376e-05,6887.265625,142.53456115722656,2.3149092157837003e-05,0.0002335690223844722,2.4153605409082957e-05,0.0002564642927609384
20,0.0002602321619633585,0.00028049031971022487,4.999999873689376e-05,6876.736328125,142.53564453125,2.310601485078223e-05,0.0002377079363213852,2.4129711164277978e-05,0.0002563606249168515
21,0.00025106396060436964,0.0002805321419145912,4.999999873689376e-05,6865.43994140625,142.28433227539062,2.3127184249460697e-05,0.00022853883274365216,2.4127682991093025e-05,0.0002564044261816889
22,0.00025968923000618815,0.00028047728119418025,4.999999873689376e-05,6861.9189453125,142.16307067871094,2.3160782802733593e-05,0.00023675359261687845,2.4130926249199547e-05,0.0002563463640399277
23,0.0002548527845647186,0.0002804123505484313,2.499999936844688e-05,6876.607421875,142.1313934326172,2.3017055355012417e-05,0.0002322844957234338,2.4120625312207267e-05,0.00025629173615016043
24,0.0002563089656177908,0.0002805785334203392,2.499999936844688e-05,6853.03173828125,142.19717407226562,2.2901278498466127e-05,0.00023324796347878873,2.4129298253683373e-05,0.0002564492169767618
25,0.00025677288067527115,0.00028042285703122616,2.499999936844688e-05,6864.0205078125,142.17648315429688,2.319374652870465e-05,0.00023376289755105972,2.4120270609273575e-05,0.00025630256277509034
