frame,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
3,3,whale,0.5840612649917603,2575.3869284438874,1322.2833070802988,2941.2480350008573,1662.0119040148672,2758,1492
6,3,whale,0.28838157653808594,2573.1031827122874,1284.6801145696684,2945.132365980647,1627.1816762147585,2759,1455
9,3,marine mammal,0.577605664730072,2576.297035501723,1252.1626263749538,3071.247320076105,1656.0036526769761,2823,1454
12,3,whale,0.5264114737510681,2582.886460909086,1208.8013184005267,3023.8919690635526,1583.4514478654812,2803,1396
15,3,whale,0.5472812056541443,2586.5321441036517,1153.3826893943203,2984.971981689772,1513.9697357545592,2785,1333
18,3,whale,0.7765418291091919,2594.0101595698134,1097.8936214204025,2964.652048804067,1440.2755187222494,2779,1269
21,3,marine mammal,0.5788048505783081,2596.0422004224697,1027.813822490866,3004.292511239234,1402.4293193750136,2800,1215
24,3,whale,0.4316028952598572,2601.4946667026516,952.8995739678624,2985.9767498781994,1318.900777927888,2793,1135
27,3,whale,0.4316028952598572,2335.0760139069785,847.0699157518135,2766.271491580465,1140.2647837758602,2550,993
30,3,marine mammal,0.5169352889060974,2575.1842714128884,825.2297551842712,3113.5402294609758,1297.2420041786459,2844,1061
33,3,marine mammal,0.500943660736084,2675.1718293705103,647.2705643231817,3184.857661694354,1122.6929895604617,2930,884
36,3,marine mammal,0.23641741275787354,2604.867371046922,645.9275026598224,3094.557658172189,1058.881637500515,2849,852
39,3,whale,0.47694337368011475,2587.462236393648,581.3106759712115,2979.9142745888207,950.4722215046478,2783,765
42,3,whale,0.47694337368011475,4082.7350289784804,404.4585034396029,5622.318324994884,1129.9215546375665,4852,767
45,3,marine mammal,0.4671114683151245,2624.5523413722854,417.7949105240903,3060.7674972887467,870.7488130536677,2842,644
48,3,marine mammal,0.5603219270706177,2639.953155108299,345.6005607984948,3110.564319912529,820.2033780530243,2875,582
51,3,marine mammal,0.8214479684829712,2662.1256340520686,296.90581537976016,3129.37883077745,785.3232406803276,2895,541
54,3,marine mammal,0.779714047908783,2687.5824835674116,266.6924840268407,3130.6476012082353,763.2144236131412,2909,514
57,3,whale,0.7137351036071777,2703.6712460254903,245.49120952042168,3094.5785538480995,684.6668323997606,2899,465
60,3,marine mammal,0.6290004849433899,2708.717980774808,225.44593982057543,3091.1090630826257,664.0065486298236,2899,444
63,3,marine mammal,0.5373731255531311,2709.1413584349625,210.28171248824458,3097.92408856284,663.6144272554924,2903,436
66,3,whale,0.5262464880943298,2712.712357080226,197.83013428982773,3076.73240976205,616.243267612134,2894,407
