frame,track_id,class_name,confidence,center_x,center_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
168,3,marine mammal,0.5166850090026855,2915,1701,2747.6,1517.4,3082.0,1886.2
171,3,marine mammal,0.6938073039054871,2914,1714,2746.7,1525.6,3081.0,1904.7
174,3,whale,0.6294536590576172,2943,1704,2796.9,1530.0,3091.4,1879.3
177,3,marine mammal,0.6884598731994629,2984,1716,2827.5,1534.8,3140.8,1897.3
180,3,marine mammal,0.8890260457992554,3004,1715,2840.7,1527.4,3168.3,1903.5
183,3,marine mammal,0.8515739440917969,3019,1715,2849.2,1521.7,3189.5,1909.0
186,3,marine mammal,0.8008002042770386,3016,1721,2845.5,1532.6,3188.4,1911.0
189,3,marine mammal,0.6878804564476013,3014,1727,2838.1,1541.4,3190.8,1912.7
192,3,marine mammal,0.4693603813648224,3011,1733,2835.7,1549.6,3186.5,1917.8
195,3,whale,0.5669670701026917,3000,1729,2839.4,1558.3,3162.3,1898.9
198,3,marine mammal,0.8784092664718628,3002,1736,2836.0,1566.7,3169.1,1906.8
201,3,whale,0.5179409384727478,3002,1745,2832.0,1574.0,3172.8,1917.2
204,3,marine mammal,0.22177883982658386,3004,1752,2831.4,1580.5,3177.0,1923.7
207,3,marine mammal,0.22177883982658386,3158,1747,2966.9,1563.4,3350.1,1931.3
210,3,marine mammal,0.7381232380867004,3112,1753,2924.7,1569.4,3302.0,1937.7
213,3,marine mammal,0.6679645776748657,3059,1764,2872.7,1581.2,3246.5,1947.3
216,3,marine mammal,0.8892031311988831,3031,1776,2850.0,1594.3,3214.3,1958.3
219,3,marine mammal,0.7790743708610535,2994,1777,2823.7,1596.1,3165.0,1959.4
222,3,marine mammal,0.5129558444023132,2995,1771,2825.5,1588.5,3164.9,1954.4
225,3,marine mammal,0.7742738127708435,3021,1771,2865.8,1589.8,3177.6,1952.9
228,3,marine mammal,0.6536461114883423,3012,1764,2870.1,1592.7,3156.5,1935.3
231,3,marine mammal,0.7212125658988953,3019,1769,2875.7,1597.7,3163.9,1941.3
234,3,marine mammal,0.7055591940879822,3025,1780,2877.4,1611.5,3174.6,1950.4
237,3,marine mammal,0.7104243040084839,3026,1785,2885.0,1623.0,3168.5,1947.7
240,3,marine mammal,0.5381892919540405,3040,1789,2892.9,1621.0,3189.4,1956.6
243,3,whale,0.33614054322242737,3033,1778,2894.4,1629.0,3172.6,1928.1
246,3,marine mammal,0.4341871738433838,3039,1788,2889.0,1629.9,3190.8,1946.4
249,3,marine mammal,0.6632456183433533,3040,1790,2895.7,1643.1,3185.7,1937.8
