frame,track_id,class_name,confidence,center_x,center_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
435,1,marine mammal,0.4611207842826843,1383,-173,1143.4,-372.1,1622.6,26.6
438,1,marine mammal,0.47248518466949463,1379,-186,1132.8,-390.9,1624.8,18.2
441,1,marine mammal,0.28916582465171814,1375,-184,1123.6,-403.9,1628.6,36.9
444,1,marine mammal,0.35545191168785095,1366,-178,1110.0,-411.3,1622.6,56.1
447,1,marine mammal,0.3843284249305725,1360,-193,1095.7,-425.2,1626.0,39.1
456,1,marine mammal,0.30294883251190186,1324,-235,1060.9,-468.0,1588.7,-1.2
459,1,marine mammal,0.2312023937702179,1311,-262,1049.4,-485.7,1572.4,-37.2
483,1,marine mammal,0.37901490926742554,1141,-400,901.6,-588.8,1381.1,-209.3
486,1,marine mammal,0.3885756731033325,1122,-414,876.7,-602.5,1366.9,-225.2
489,1,marine mammal,0.4896286129951477,1107,-422,861.2,-612.0,1354.0,-230.7
492,1,whale,0.34627267718315125,1086,-432,839.8,-623.9,1333.0,-238.9
495,1,marine mammal,0.42071905732154846,1081,-439,827.2,-634.0,1334.8,-242.0
498,1,marine mammal,0.6530815362930298,1060,-452,808.0,-641.6,1312.8,-260.7
501,1,marine mammal,0.5167331099510193,1048,-472,798.5,-656.1,1298.8,-286.8
504,1,marine mammal,0.7952032685279846,1028,-477,782.5,-661.5,1274.8,-291.3
507,1,marine mammal,0.8518894910812378,1009,-488,767.0,-669.4,1253.3,-306.7
510,1,marine mammal,0.8790023922920227,1007,-489,755.0,-673.6,1259.5,-303.4
513,1,marine mammal,0.9442116618156433,994,-504,745.1,-680.0,1243.1,-325.7
516,1,marine mammal,0.8973358869552612,981,-508,738.7,-683.2,1225.9,-331.6
519,1,whale,0.5746952295303345,969,-507,728.3,-687.7,1210.3,-324.1
522,1,marine mammal,0.5053113102912903,967,-502,719.8,-689.7,1215.0,-314.0
525,1,marine mammal,0.3122788369655609,950,-516,715.4,-692.7,1185.5,-336.9
528,1,marine mammal,0.4246179461479187,942,-520,708.5,-698.3,1176.7,-339.9
531,1,whale,0.3054654002189636,925,-533,701.7,-701.1,1148.1,-364.2
534,1,whale,0.43782514333724976,894,-562,691.1,-700.6,1097.5,-423.1
540,1,whale,0.46187707781791687,894,-547,666.6,-720.0,1122.8,-373.1
543,1,marine mammal,0.6806049942970276,882,-559,658.2,-730.5,1106.4,-385.9
546,1,marine mammal,0.8176316618919373,868,-571,645.5,-743.0,1090.2,-399.3
549,1,marine mammal,0.8493020534515381,853,-586,627.8,-753.4,1077.4,-416.7
552,1,marine mammal,0.7548781037330627,844,-593,620.2,-760.9,1069.4,-423.6
555,1,whale,0.6614792346954346,835,-603,608.5,-769.3,1061.6,-435.5
558,1,whale,0.43981313705444336,826,-611,600.6,-780.6,1053.5,-439.7
561,1,whale,0.274017333984375,809,-624,580.8,-794.5,1037.9,-452.8
564,1,whale,0.3607194721698761,795,-636,564.8,-806.7,1025.4,-463.4
567,1,whale,0.40733522176742554,783,-646,550.9,-821.3,1015.4,-470.3
570,1,marine mammal,0.32746434211730957,777,-655,544.8,-831.6,1010.2,-478.8
573,1,marine mammal,0.38866448402404785,770,-663,533.3,-840.4,1007.6,-484.1
576,1,marine mammal,0.743811309337616,761,-673,524.5,-851.9,997.5,-493.7
579,1,whale,0.6074380874633789,750,-684,513.0,-863.0,987.7,-504.4
582,1,marine mammal,0.6356390714645386,738,-697,500.7,-874.9,975.9,-517.2
585,1,marine mammal,0.7143529653549194,728,-703,488.9,-884.9,968.1,-520.4
588,1,marine mammal,0.40171781182289124,721,-715,481.4,-898.8,960.4,-529.9
591,1,marine mammal,0.806810736656189,708,-725,469.4,-910.6,949.2,-538.6
