breath_id,peak_frame,time_s,peak_brightness,peak_white_pct,start_frame,end_frame,duration_frames,blowhole_x,blowhole_y
1,303,10.11,143.89484375,12.843750000000002,288,321,33,1737,602
2,957,31.93,171.00640625,51.96875,954,981,27,1662,826
3,1653,55.16,186.74859375,60.34374999999999,1650,1707,57,2193,462
4,2103,70.17,195.21265625,62.546875,2103,2133,30,1855,587
