frame,class_name,confidence,bbox,num_merged,merged_classes
165,marine mammal,0.2379905730485916,"[0.0, 938.5299682617188, 590.8008422851562, 1615.4154052734375]",1,{'marine mammal': 0.2379905730485916}
165,marine mammal,0.234133780002594,"[189.89895629882812, 551.527587890625, 871.58642578125, 1216.0989990234375]",1,{'marine mammal': 0.234133780002594}
165,marine mammal,0.17937932908535004,"[3139.7607421875, 719.9658203125, 3503.6103515625, 1099.8258056640625]",2,"{'marine mammal': 0.17937932908535004, 'whale': 0.15358451008796692}"
180,marine mammal,0.8890260457992554,"[3162.104736328125, 806.2214965820312, 3510.122314453125, 1195.3414306640625]",2,"{'marine mammal': 0.8890260457992554, 'whale': 0.5558016300201416}"
180,marine mammal,0.225546196103096,"[0.0, 969.112060546875, 563.5487670898438, 1686.722900390625]",1,{'marine mammal': 0.225546196103096}
180,marine mammal,0.2071710228919983,"[170.83950805664062, 625.0888061523438, 843.7124633789062, 1245.065185546875]",2,"{'marine mammal': 0.2071710228919983, 'whale': 0.07424087077379227}"
180,marine mammal,0.06086718291044235,"[670.3190307617188, 5.39776611328125, 1401.6551513671875, 602.82861328125]",1,{'marine mammal': 0.06086718291044235}
195,whale,0.5669670701026917,"[3150.79248046875, 858.4786376953125, 3446.492431640625, 1158.890625]",1,{'whale': 0.5669670701026917}
195,marine mammal,0.502173900604248,"[0.0, 978.6038818359375, 559.6026000976562, 1698.26513671875]",1,{'marine mammal': 0.502173900604248}
195,marine mammal,0.36814701557159424,"[128.259765625, 606.481201171875, 758.1471557617188, 1232.5931396484375]",1,{'marine mammal': 0.36814701557159424}
210,marine mammal,0.7381232380867004,"[3144.701904296875, 846.4806518554688, 3501.502685546875, 1212.8592529296875]",3,"{'marine mammal': 0.7381232380867004, 'whale': 0.48142001032829285, 'dorsal fin': 0.10344193875789642}"
210,marine mammal,0.18077923357486725,"[20.95843505859375, 534.9429321289062, 682.4750366210938, 1143.369140625]",2,"{'marine mammal': 0.18077923357486725, 'whale': 0.1276916116476059}"
210,marine mammal,0.12577137351036072,"[0.0, 918.7432250976562, 387.56243896484375, 1567.8564453125]",1,{'marine mammal': 0.0758926197886467}
210,dorsal fin,0.11198379844427109,"[3215.916015625, 857.41259765625, 3382.270263671875, 1013.11669921875]",1,{'dorsal fin': 0.11198379844427109}
210,marine mammal,0.055445898324251175,"[791.0542602539062, 110.8714370727539, 1251.0869140625, 532.9381713867188]",1,{'marine mammal': 0.055445898324251175}
225,marine mammal,0.7742738127708435,"[3213.6884765625, 832.7550659179688, 3491.66455078125, 1187.6990966796875]",2,"{'marine mammal': 0.7742738127708435, 'whale': 0.17265301942825317}"
225,marine mammal,0.37552303075790405,"[0.0, 927.107666015625, 301.4435729980469, 1486.165283203125]",1,{'marine mammal': 0.37552303075790405}
225,whale,0.13985785841941833,"[40.90447998046875, 503.10968017578125, 616.1414794921875, 1084.1553955078125]",1,{'whale': 0.13985785841941833}
225,dorsal fin,0.05608418956398964,"[3219.85498046875, 836.1075439453125, 3390.10205078125, 1028.6888427734375]",1,{'dorsal fin': 0.05608418956398964}
240,marine mammal,0.5381892919540405,"[3171.694580078125, 839.2279052734375, 3494.776123046875, 1196.2421875]",2,"{'marine mammal': 0.5381892919540405, 'whale': 0.07846614718437195}"
240,whale,0.29978418350219727,"[3222.291015625, 858.471923828125, 3417.791259765625, 1119.68505859375]",1,{'whale': 0.29978418350219727}
240,marine mammal,0.19879090785980225,"[0.035980224609375, 915.7212524414062, 373.6119689941406, 1544.876708984375]",1,{'marine mammal': 0.19879090785980225}
240,whale,0.18070679903030396,"[2.630767822265625, 469.9877014160156, 684.8543701171875, 1155.9044189453125]",2,"{'whale': 0.18070679903030396, 'marine mammal': 0.15674404799938202}"
240,dorsal fin,0.11586201190948486,"[3227.054443359375, 871.5737915039062, 3372.176513671875, 1035.6856689453125]",1,{'dorsal fin': 0.11586201190948486}
255,marine mammal,0.7009041905403137,"[0.0, 402.9964599609375, 670.1240234375, 1113.99755859375]",1,{'marine mammal': 0.7009041905403137}
255,marine mammal,0.4764675796031952,"[3158.172607421875, 877.4412231445312, 3496.468017578125, 1201.539306640625]",3,"{'marine mammal': 0.4764675796031952, 'whale': 0.08532653003931046, 'dorsal fin': 0.08190108835697174}"
