frame,track_id,class_name,confidence,center_x,center_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
18,1,marine mammal,0.20352566242218018,2099,1279,2056.4,1203.9,2142.6,1354.5
21,1,marine mammal,0.21225912868976593,2100,1278,2055.6,1197.4,2145.9,1360.4
24,1,marine mammal,0.21225912868976593,2101,1279,2055.3,1196.3,2147.2,1363.6
27,1,marine mammal,0.13350267708301544,2105,1297,2061.9,1215.2,2148.2,1378.9
30,1,marine mammal,0.28617918491363525,2110,1310,2062.6,1227.0,2159.0,1394.0
33,1,marine mammal,0.28617918491363525,2113,1320,2064.1,1235.9,2163.2,1405.1
36,1,marine mammal,0.28617918491363525,2116,1329,2065.9,1243.7,2167.7,1415.1
39,1,marine mammal,0.28617918491363525,2120,1337,2068.0,1251.2,2172.7,1424.7
42,1,marine mammal,0.11669547855854034,2124,1350,2064.8,1260.7,2185.4,1439.7
45,1,marine mammal,0.10710751265287399,2129,1365,2062.7,1278.5,2197.6,1452.5
48,1,marine mammal,0.18808458745479584,2143,1379,2078.2,1294.3,2208.3,1463.5
51,1,marine mammal,0.41072627902030945,2151,1391,2084.8,1309.3,2219.3,1472.8
54,1,marine mammal,0.3408118486404419,2159,1403,2090.9,1328.9,2227.8,1478.9
57,1,marine mammal,0.5409008860588074,2166,1416,2098.4,1347.7,2234.8,1486.1
60,1,marine mammal,0.5667048096656799,2177,1430,2105.7,1363.4,2250.5,1499.4
63,1,marine mammal,0.2291596680879593,2188,1446,2113.1,1379.3,2264.0,1513.1
66,1,whale,0.3300474286079407,2203,1463,2125.1,1400.1,2280.9,1526.8
69,1,marine mammal,0.2268788069486618,2218,1481,2135.7,1418.7,2300.6,1544.4
72,1,marine mammal,0.22505199909210205,2233,1500,2145.0,1438.7,2321.1,1562.8
75,1,whale,0.1466589719057083,2247,1518,2155.4,1461.1,2339.7,1576.0
78,1,whale,0.1923142373561859,2260,1536,2166.5,1486.3,2353.9,1587.0
81,1,whale,0.26343801617622375,2275,1552,2181.2,1503.8,2369.8,1600.4
84,1,whale,0.20031054317951202,2290,1568,2191.1,1519.4,2389.5,1617.1
87,1,whale,0.26943522691726685,2304,1583,2203.7,1535.5,2404.4,1630.0
87,4,marine mammal,0.2589857876300812,2175,1627,2099.1,1571.6,2251.7,1681.8
90,1,whale,0.23722751438617706,2322,1601,2218.7,1557.4,2425.9,1645.9
90,4,marine mammal,0.2589857876300812,2183,1640,2106.5,1586.8,2261.5,1694.4
93,1,whale,0.299859881401062,2340,1617,2233.1,1578.8,2447.8,1656.5
93,4,whale,0.189671128988266,2204,1665,2124.5,1616.8,2283.9,1714.7
96,1,whale,0.4611227214336395,2357,1631,2250.6,1598.1,2464.5,1666.7
96,4,whale,0.21583829820156097,2222,1687,2140.4,1643.2,2304.8,1733.1
99,1,whale,0.47125962376594543,2377,1646,2268.9,1614.5,2485.3,1677.7
99,4,whale,0.13969755172729492,2244,1706,2161.7,1666.3,2327.0,1746.3
102,1,whale,0.3125777542591095,2389,1658,2279.5,1627.9,2501.3,1687.7
102,4,whale,0.13969755172729492,2259,1724,2176.0,1688.5,2344.3,1761.1
105,1,whale,0.1875115931034088,2402,1668,2288.9,1640.1,2516.7,1697.5
105,4,whale,0.1922387033700943,2275,1738,2190.1,1706.3,2361.7,1771.5
108,1,whale,0.40257078409194946,2408,1678,2291.2,1652.0,2525.7,1706.5
108,4,whale,0.1922387033700943,2282,1754,2195.1,1725.5,2369.7,1784.0
111,1,whale,0.35577794909477234,2417,1690,2302.0,1663.6,2533.8,1717.7
111,4,whale,0.1922387033700943,2285,1771,2197.6,1745.5,2375.2,1798.0
114,1,whale,0.24874798953533173,2424,1698,2309.9,1669.4,2539.7,1728.8
114,4,whale,0.29725274443626404,2292,1782,2200.2,1756.2,2385.5,1808.1
117,1,whale,0.3600479066371918,2434,1707,2315.0,1677.2,2552.8,1737.8
117,4,whale,0.20068858563899994,2307,1794,2211.1,1767.4,2404.2,1821.3
120,1,whale,0.3545214533805847,2453,1714,2336.0,1683.0,2572.4,1744.8
120,4,whale,0.2788275182247162,2329,1803,2231.5,1776.8,2428.6,1829.3
123,1,whale,0.46801623702049255,2478,1719,2361.3,1687.3,2594.2,1751.8
123,4,whale,0.3041016161441803,2352,1812,2251.5,1785.4,2451.8,1840.5
126,1,whale,0.3568245470523834,2502,1725,2389.5,1691.2,2615.1,1761.0
126,4,whale,0.2874264717102051,2374,1822,2273.9,1795.3,2474.3,1851.2
129,1,whale,0.42172348499298096,2522,1729,2409.0,1693.1,2635.5,1765.6
129,4,whale,0.24033641815185547,2397,1831,2295.7,1803.1,2499.4,1859.9
132,1,whale,0.31141215562820435,2537,1725,2419.6,1686.8,2656.5,1764.1
132,4,whale,0.3304927349090576,2415,1833,2309.0,1805.6,2521.9,1861.5
135,1,whale,0.19108889997005463,2561,1721,2445.9,1680.0,2676.6,1763.0
135,4,whale,0.3474385142326355,2437,1836,2331.1,1807.7,2543.8,1863.7
138,1,whale,0.3229654133319855,2588,1713,2476.5,1669.9,2700.5,1757.5
138,4,whale,0.23045246303081512,2464,1835,2360.0,1806.8,2568.3,1863.9
141,1,whale,0.217912495136261,2618,1707,2509.0,1660.3,2727.9,1754.7
141,4,whale,0.2559392750263214,2484,1834,2377.5,1805.8,2592.7,1862.8
144,1,whale,0.21261799335479736,2641,1697,2533.2,1646.7,2750.0,1749.1
144,4,whale,0.27365779876708984,2505,1830,2398.0,1801.5,2612.4,1860.7
147,1,whale,0.29452916979789734,2663,1690,2551.5,1636.2,2775.2,1745.9
147,4,whale,0.24851851165294647,2532,1827,2424.5,1796.5,2639.6,1858.4
150,1,whale,0.3414788842201233,2682,1684,2569.7,1626.6,2795.6,1742.6
150,4,whale,0.21178530156612396,2556,1822,2449.9,1792.6,2663.1,1854.1
153,1,whale,0.20339228212833405,2702,1677,2591.4,1616.8,2813.4,1739.6
153,4,whale,0.11484037339687347,2578,1819,2471.7,1789.8,2684.9,1850.6
156,1,whale,0.306304931640625,2720,1672,2604.3,1606.3,2838.1,1739.1
156,4,whale,0.2485179752111435,2598,1816,2487.2,1786.6,2711.1,1846.6
159,1,whale,0.3617248833179474,2737,1670,2613.4,1595.9,2862.7,1743.7
159,4,whale,0.19403307139873505,2616,1817,2501.5,1786.7,2732.3,1848.1
162,1,whale,0.2739839553833008,2763,1662,2631.8,1580.1,2893.5,1743.5
162,4,whale,0.17699755728244781,2646,1814,2531.0,1783.0,2760.7,1845.4
165,1,whale,0.21434351801872253,2789,1649,2651.2,1563.9,2928.6,1734.5
165,4,whale,0.23766955733299255,2678,1809,2563.9,1778.5,2792.4,1841.1
168,1,whale,0.10732056200504303,2809,1641,2664.9,1551.0,2954.8,1733.4
168,4,whale,0.10934804379940033,2697,1808,2579.5,1777.2,2815.1,1840.4
171,1,whale,0.10732056200504303,2829,1634,2678.5,1537.6,2979.4,1730.8
171,4,whale,0.21739932894706726,2721,1806,2603.0,1774.3,2840.8,1838.7
174,1,whale,0.10732056200504303,2855,1628,2698.6,1525.7,3012.8,1730.1
174,4,whale,0.1587909609079361,2751,1807,2635.7,1774.0,2868.4,1840.2
177,1,whale,0.10732056200504303,2880,1619,2717.1,1511.4,3044.5,1727.2
177,4,whale,0.20505669713020325,2776,1805,2656.1,1769.0,2896.3,1841.9
180,1,whale,0.10732056200504303,2902,1613,2733.2,1499.6,3072.3,1727.4
