frame,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
18,1,marine mammal,0.20352566242218018,2056.398676404287,1203.8618357498935,2142.5679067579094,1354.4540755945923,2099,1279
21,1,marine mammal,0.21225912868976593,2056.3421090721763,1220.162180936637,2146.6757471636215,1383.1231163484292,2101,1301
24,1,marine mammal,0.21225912868976593,2058.3684472642462,1239.2965885840886,2150.196593195589,1406.57735326466,2104,1322
27,1,marine mammal,0.13350267708301544,2068.1156826840665,1276.5484207908726,2154.4717703233287,1440.2882001010953,2111,1358
30,1,marine mammal,0.28617918491363525,2073.116687185072,1303.8249580569782,2169.5180051845177,1470.882443477716,2121,1387
33,1,marine mammal,0.28617918491363525,2080.0662129662837,1326.5186398177661,2179.142769497149,1495.7247964339624,2129,1411
36,1,marine mammal,0.28617918491363525,2088.4156468813453,1347.2136822122536,2190.2889428276912,1518.559905772074,2139,1432
39,1,marine mammal,0.28617918491363525,2097.682022353763,1365.9254555481727,2202.3306867312654,1539.4650128065055,2150,1452
42,1,marine mammal,0.11669547855854034,2101.3128300368394,1384.221796321095,2221.9524218513952,1563.1721871221,2161,1473
45,1,marine mammal,0.10710751265287399,2105.278838177927,1410.547078543461,2240.2195967468683,1584.5748291693467,2172,1497
48,1,marine mammal,0.18808458745479584,2126.11279159441,1433.6362446746552,2256.171072708645,1602.8579307760592,2191,1518
51,1,marine mammal,0.41072627902030945,2137.478469919339,1454.2852858519582,2271.9870593342653,1617.7893707044536,2204,1536
54,1,marine mammal,0.3408118486404419,2147.361407510706,1477.6080944352154,2284.2341703828083,1627.5588980244636,2215,1552
57,1,marine mammal,0.5409008860588074,2156.962901207047,1497.818656920013,2293.3806966916404,1636.1598462947534,2225,1566
60,1,marine mammal,0.5667048096656799,2165.5500374158282,1511.935017107112,2310.3219083520435,1647.956084997071,2237,1579
63,1,marine mammal,0.2291596680879593,2173.310111157525,1525.7346192191949,2324.2281684192226,1659.5505296553185,2248,1592
