frame,track_id,n_keypoints,rostrum_tip_x,rostrum_tip_y,rostrum_tip_conf,left_caudal_fluke_x,left_caudal_fluke_y,left_caudal_fluke_conf,right_caudal_fluke_x,right_caudal_fluke_y,right_caudal_fluke_conf,left_pect_fin_tip_x,left_pect_fin_tip_y,left_pect_fin_tip_conf,right_pect_fin_tip_x,right_pect_fin_tip_y,right_pect_fin_tip_conf,mid_saddle_patch_x,mid_saddle_patch_y,mid_saddle_patch_conf,Caudal_peduncle_x,Caudal_peduncle_y,Caudal_peduncle_conf
114,1,4,2548.0,1529.0,0.2734,,,,2600.0,1409.0,0.1907,,,,2500.0,1577.0,0.1639,2280.0,1617.0,0.4962,,,
114,4,4,2548.0,1529.0,0.2734,,,,2600.0,1409.0,0.1907,,,,2500.0,1577.0,0.1639,2280.0,1617.0,0.4962,,,
117,1,4,2604.0,1389.0,0.2878,,,,2420.0,1629.0,0.2081,,,,2516.0,1561.0,0.177,2288.0,1609.0,0.4187,,,
117,4,4,2604.0,1389.0,0.2878,,,,2420.0,1629.0,0.2081,,,,2516.0,1561.0,0.177,2288.0,1609.0,0.4187,,,
120,1,4,2616.0,1369.0,0.2747,,,,2432.0,1617.0,0.2651,,,,2528.0,1545.0,0.2446,2432.0,1517.0,0.6743,,,
120,4,4,2616.0,1369.0,0.2747,,,,2432.0,1617.0,0.2651,,,,2528.0,1545.0,0.2446,2432.0,1517.0,0.6743,,,
123,1,4,2624.0,1348.0,0.3225,,,,2440.0,1608.0,0.1891,,,,2540.0,1532.0,0.2451,2312.0,1584.0,0.4829,,,
123,4,4,2624.0,1348.0,0.3225,,,,2440.0,1608.0,0.1891,,,,2540.0,1532.0,0.2451,2312.0,1584.0,0.4829,,,
126,1,4,2632.0,1329.0,0.3255,,,,2452.0,1593.0,0.2038,,,,2556.0,1517.0,0.2573,2324.0,1573.0,0.3891,,,
126,4,4,2632.0,1329.0,0.3255,,,,2452.0,1593.0,0.2038,,,,2556.0,1517.0,0.2573,2324.0,1573.0,0.3891,,,
129,1,5,2640.0,1313.0,0.3239,2328.0,1473.0,0.1039,2468.0,1589.0,0.1897,,,,2568.0,1501.0,0.2574,2556.0,1357.0,0.6121,,,
129,4,5,2640.0,1313.0,0.3239,2328.0,1473.0,0.1039,2468.0,1589.0,0.1897,,,,2568.0,1501.0,0.2574,2556.0,1357.0,0.6121,,,
132,1,5,2644.0,1297.0,0.308,2340.0,1465.0,0.1029,2476.0,1573.0,0.1727,,,,2580.0,1489.0,0.2668,2568.0,1345.0,0.4113,,,
132,4,5,2644.0,1297.0,0.308,2340.0,1465.0,0.1029,2476.0,1573.0,0.1727,,,,2580.0,1489.0,0.2668,2568.0,1345.0,0.4113,,,
135,1,5,2608.0,1413.0,0.3399,2348.0,1461.0,0.1058,2652.0,1281.0,0.1486,,,,2596.0,1477.0,0.2844,2348.0,1557.0,0.5781,,,
135,4,5,2608.0,1413.0,0.3399,2348.0,1461.0,0.1058,2652.0,1281.0,0.1486,,,,2596.0,1477.0,0.2844,2348.0,1557.0,0.5781,,,
138,1,5,2660.0,1269.0,0.4051,2364.0,1457.0,0.1256,2656.0,1269.0,0.1744,,,,2608.0,1469.0,0.2835,2364.0,1553.0,0.2368,,,
138,4,5,2660.0,1269.0,0.4051,2364.0,1457.0,0.1256,2656.0,1269.0,0.1744,,,,2608.0,1469.0,0.2835,2364.0,1553.0,0.2368,,,
141,1,4,2668.0,1257.0,0.4231,2376.0,1457.0,0.1322,,,,,,,2620.0,1457.0,0.3438,2500.0,1453.0,0.6315,,,
141,4,4,2668.0,1257.0,0.4231,2376.0,1457.0,0.1322,,,,,,,2620.0,1457.0,0.3438,2500.0,1453.0,0.6315,,,
144,1,6,2676.0,1245.0,0.403,2384.0,1453.0,0.1521,2528.0,1545.0,0.1554,2536.0,1345.0,0.1002,2632.0,1445.0,0.3452,2384.0,1545.0,0.3411,,,
144,4,6,2676.0,1245.0,0.403,2384.0,1453.0,0.1521,2528.0,1545.0,0.1554,2536.0,1345.0,0.1002,2632.0,1445.0,0.3452,2384.0,1545.0,0.3411,,,
147,1,5,2688.0,1229.0,0.3787,2400.0,1449.0,0.1095,,,,2548.0,1337.0,0.1043,2644.0,1437.0,0.4089,2608.0,1293.0,0.7532,,,
147,4,5,2688.0,1229.0,0.3787,2400.0,1449.0,0.1095,,,,2548.0,1337.0,0.1043,2644.0,1437.0,0.4089,2608.0,1293.0,0.7532,,,
150,1,4,2692.0,1217.0,0.3528,,,,,,,2556.0,1329.0,0.108,2656.0,1433.0,0.4233,2528.0,1425.0,0.368,,,
150,4,4,2692.0,1217.0,0.3528,,,,,,,2556.0,1329.0,0.108,2656.0,1433.0,0.4233,2528.0,1425.0,0.368,,,
