frame,track_id,class_name,confidence,center_x,center_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
3,2,marine mammal,0.1329868882894516,1905,856,1848.5,711.3,1963.3,1002.2
3,1,marine mammal,0.5242990851402283,1730,1004,1668.7,806.3,1792.5,1202.4
6,2,marine mammal,0.1278129667043686,1912,863,1850.6,699.3,1975.2,1029.1
6,1,whale,0.24184821546077728,1731,1000,1669.2,801.8,1793.9,1200.3
9,2,marine mammal,0.24861539900302887,1918,869,1853.3,691.9,1982.8,1046.0
9,1,marine mammal,0.24815891683101654,1732,997,1666.9,796.1,1797.1,1198.8
12,2,marine mammal,0.2518133223056793,1923,862,1856.2,678.3,1990.2,1046.3
12,1,marine mammal,0.18895497918128967,1730,989,1657.1,789.2,1803.7,1191.0
12,3,whale,0.16104352474212646,1934,1016,1877.8,993.8,1990.2,1039.2
15,2,marine mammal,0.40381109714508057,1926,852,1859.4,666.7,1993.3,1037.5
15,1,marine mammal,0.35698258876800537,1737,984,1663.6,779.4,1811.5,1188.9
15,3,whale,0.16104352474212646,1937,1013,1881.8,991.1,1994.2,1036.0
18,2,marine mammal,0.190268412232399,1929,842,1861.7,657.2,1996.6,1028.6
18,1,marine mammal,0.10168784856796265,1742,979,1667.0,773.8,1816.9,1186.1
18,3,whale,0.16104352474212646,1943,1013,1886.9,990.9,1999.4,1035.6
21,2,marine mammal,0.1859985888004303,1933,835,1864.3,648.1,2002.1,1023.0
21,1,marine mammal,0.28763002157211304,1744,975,1666.7,767.7,1821.3,1182.7
21,3,whale,0.16104352474212646,1945,1013,1888.9,991.5,2000.9,1035.8
24,2,marine mammal,0.1859985888004303,1939,825,1869.5,634.2,2009.1,1017.7
24,1,marine mammal,0.1990807205438614,1753,966,1680.4,757.8,1827.6,1176.2
24,3,whale,0.16104352474212646,1949,1009,1893.8,987.9,2005.7,1031.7
27,2,marine mammal,0.10168471187353134,1942,822,1865.6,623.2,2018.3,1021.8
27,1,marine mammal,0.1660001575946808,1762,959,1692.1,751.0,1831.7,1169.6
27,3,whale,0.16104352474212646,1955,1005,1899.3,984.6,2011.5,1027.9
30,2,marine mammal,0.22109225392341614,1940,809,1872.3,615.9,2008.2,1002.9
30,1,marine mammal,0.14070458710193634,1764,952,1693.6,746.8,1834.2,1157.9
30,3,whale,0.16104352474212646,1956,1005,1900.4,984.1,2012.1,1027.0
33,2,marine mammal,0.2280925214290619,1945,801,1879.7,606.7,2012.8,997.7
33,1,marine mammal,0.49521198868751526,1765,941,1694.0,737.8,1837.9,1146.3
33,3,marine mammal,0.4761766493320465,770,1141,710.5,1016.0,830.2,1267.1
36,2,marine mammal,0.2280925214290619,1946,796,1881.3,599.3,2012.5,994.0
36,1,marine mammal,0.1470191925764084,1767,934,1695.5,732.9,1840.4,1135.0
36,3,marine mammal,0.29435181617736816,774,1126,718.9,1005.5,830.5,1246.1
39,2,marine mammal,0.2280925214290619,1950,787,1885.2,588.2,2015.3,986.9
39,1,whale,0.10147539526224136,1771,882,1699.1,724.1,1842.4,1040.6
39,3,marine mammal,0.47586435079574585,779,1104,729.4,995.0,829.7,1215.2
42,2,marine mammal,0.2280925214290619,1952,781,1889.0,581.3,2017.0,983.1
42,1,marine mammal,0.231510192155838,1774,884,1705.4,715.4,1843.9,1053.4
42,3,marine mammal,0.34253332018852234,782,1084,738.7,981.6,827.2,1188.1
45,2,marine mammal,0.2273242324590683,1958,778,1894.2,574.6,2024.1,982.5
45,1,marine mammal,0.273050457239151,1777,885,1704.9,706.7,1849.6,1063.5
45,3,marine mammal,0.34253332018852234,785,1071,745.6,973.5,826.5,1169.7
48,2,marine mammal,0.15435072779655457,1966,789,1899.6,597.9,2033.9,981.3
48,1,marine mammal,0.4290205240249634,1783,883,1710.3,697.1,1857.7,1070.3
48,3,marine mammal,0.5530352592468262,790,1061,745.7,953.3,835.8,1169.7
51,2,marine mammal,0.1076710894703865,1969,777,1900.8,590.1,2037.9,965.2
51,1,marine mammal,0.8187078833580017,1788,874,1716.2,683.0,1861.2,1065.8
51,3,marine mammal,0.6425485610961914,797,1056,747.0,937.7,846.7,1174.5
54,2,marine mammal,0.28673043847084045,1962,731,1901.3,571.9,2023.9,889.1
54,1,marine mammal,0.40242329239845276,1794,868,1723.9,673.7,1866.4,1061.9
54,3,marine mammal,0.6425485610961914,800,1046,750.6,924.6,851.4,1167.0
57,2,marine mammal,0.4492158889770508,1957,694,1900.3,555.8,2014.1,833.8
57,1,marine mammal,0.43065211176872253,1799,857,1728.9,662.7,1869.7,1052.8
57,3,marine mammal,0.6425485610961914,804,1034,754.2,911.0,856.1,1158.8
60,2,marine mammal,0.23805510997772217,1956,669,1903.9,538.5,2009.0,800.3
60,1,marine mammal,0.3673327565193176,1801,848,1733.0,652.7,1869.2,1044.3
60,3,marine mammal,0.827081561088562,810,1023,757.8,893.1,862.4,1152.3
63,2,marine mammal,0.45414969325065613,1953,667,1896.2,528.6,2010.1,807.1
63,1,marine mammal,0.4412730038166046,1802,840,1736.2,644.5,1868.8,1037.9
63,3,marine mammal,0.8652652502059937,816,1011,762.0,879.6,870.1,1144.7
66,2,marine mammal,0.35360562801361084,1954,676,1907.0,562.3,2002.9,790.5
66,1,marine mammal,0.1864720731973648,1802,830,1736.9,633.9,1868.5,1028.0
66,3,marine mammal,0.11058506369590759,820,1002,764.1,866.3,878.1,1139.3
69,2,marine mammal,0.47151699662208557,1957,680,1916.5,582.1,1997.9,779.8
69,1,marine mammal,0.755051851272583,1805,823,1738.7,625.5,1871.8,1021.6
69,3,marine mammal,0.6122039556503296,826,998,769.6,853.5,883.1,1143.7
72,2,marine mammal,0.17165322601795197,1958,651,1918.1,542.0,1998.3,761.5
72,1,marine mammal,0.3491741716861725,1805,776,1740.0,614.6,1871.6,938.9
72,3,marine mammal,0.6122039556503296,830,988,772.5,838.4,889.1,1139.6
75,2,marine mammal,0.11789467930793762,1960,631,1920.0,509.6,2001.6,755.0
75,1,marine mammal,0.14866122603416443,1809,776,1740.0,603.2,1878.8,950.9
75,3,marine mammal,0.6185428500175476,834,987,773.9,828.0,894.9,1147.6
78,2,whale,0.16127263009548187,1963,616,1921.0,482.0,2006.0,751.0
78,1,marine mammal,0.10847969353199005,1812,776,1742.1,589.9,1884.5,963.3
78,3,marine mammal,0.650188148021698,837,973,777.6,818.0,899.0,1129.9
81,2,whale,0.16127263009548187,1966,601,1924.9,463.8,2007.5,738.1
81,1,marine mammal,0.25708818435668945,1817,773,1745.2,578.7,1889.4,968.4
81,3,whale,0.28743642568588257,843,953,783.8,807.5,903.2,1099.3
84,2,marine mammal,0.3082254230976105,1975,599,1927.5,448.5,2023.0,751.0
84,1,whale,0.32652366161346436,1819,728,1750.8,572.4,1887.4,886.4
84,3,marine mammal,0.5979440212249756,849,938,790.9,797.2,907.4,1080.4
87,2,marine mammal,0.204762265086174,1979,588,1930.9,434.8,2027.4,742.0
87,1,whale,0.162092924118042,1820,698,1754.5,565.7,1887.4,830.9
87,3,marine mammal,0.6754594445228577,851,926,794.3,784.7,907.9,1068.8
