frame,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
3,2,marine mammal,0.1329868882894516,1848.4710824447732,711.2603620648035,1963.278908784931,1002.1911727541933,1905,856
3,1,marine mammal,0.5242990851402283,1668.6507911293072,806.2724129651681,1792.4967438489614,1202.3932688809682,1730,1004
6,2,marine mammal,0.1278129667043686,1849.332734556076,704.0130062057408,1973.88428129617,1033.7938215509514,1911,868
6,1,whale,0.24184821546077728,1667.9405386961828,806.5109848899027,1792.6257455159123,1204.995692378646,1730,1005
9,2,marine mammal,0.24861539900302887,1851.3987842862996,701.9964490655507,1980.8664532962155,1056.112918155169,1916,879
9,1,marine mammal,0.24815891683101654,1665.0038146148017,806.2580779127763,1795.2013495888839,1208.9342899510914,1730,1007
12,2,marine mammal,0.2518133223056793,1854.4206998112463,695.1505755494056,1988.503411777242,1063.1685175872224,1921,879
12,1,marine mammal,0.18895497918128967,1655.3609581647277,806.0305397264601,1801.9882806923852,1207.873562972915,1728,1006
12,3,whale,0.16104352474212646,1876.0930565004066,1010.5970646939328,1988.4461026956367,1056.0663251909357,1932,1033
15,2,marine mammal,0.40381109714508057,1858.3395711800308,691.6509255065739,1992.2546184907937,1062.4742987430106,1925,877
15,1,marine mammal,0.35698258876800537,1662.5332589495881,804.4111050054969,1810.4737706555334,1213.9089628054116,1736,1009
15,3,whale,0.16104352474212646,1880.8059793150603,1016.0502625472334,1993.1903997310396,1061.009524931371,1936,1038
18,2,marine mammal,0.190268412232399,1861.8521659439784,691.9641289379128,1996.7408522503417,1063.4362222091313,1929,877
18,1,marine mammal,0.10168784856796265,1667.0956700805057,808.6249142581111,1817.0055154898416,1220.8894604202585,1742,1014
18,3,whale,0.16104352474212646,1887.0898745535214,1025.7095649752036,1999.559739773044,1070.38666571635,1943,1048
21,2,marine mammal,0.1859985888004303,1866.6786786149014,693.9043552389178,2004.4712310877678,1068.788132976219,1935,881
21,1,marine mammal,0.28763002157211304,1669.1017761954756,813.4879218146889,1823.7324440576645,1228.542948084785,1746,1021
21,3,whale,0.16104352474212646,1891.3141116159532,1037.3216800746247,2003.300898583292,1081.6134582209002,1947,1059
24,2,marine mammal,0.1859985888004303,1874.2112161850662,691.9248608169411,2013.835416358872,1075.4212271785445,1944,883
24,1,marine mammal,0.1990807205438614,1685.1149838433412,815.5259933640762,1832.351028342296,1233.9137798421814,1758,1024
24,3,whale,0.16104352474212646,1898.516785536772,1045.547698176544,2010.428894413457,1089.4277877884317,1954,1067
27,2,marine mammal,0.10168471187353134,1873.054036152476,693.8516274510325,2025.810269522197,1092.4388303919172,1949,893
27,1,marine mammal,0.1660001575946808,1699.6162895400487,821.6039150960825,1839.1558287070711,1240.2040212746824,1769,1030
27,3,whale,0.16104352474212646,1906.7527478413758,1055.2263255708153,2019.0072417010308,1098.5203580719258,1962,1076
30,2,marine mammal,0.22109225392341614,1882.696717298601,700.5459091527797,2018.5470808824493,1087.5194162761127,1950,894
30,1,marine mammal,0.14070458710193634,1703.9786081541292,831.4883757363749,1844.5804583643721,1242.5868851313164,1774,1037
30,3,whale,0.16104352474212646,1910.7435519171775,1068.7733313573603,2022.4842151805135,1111.6384154534012,1966,1090
33,2,marine mammal,0.2280925214290619,1893.4201832336478,706.3140054058329,2026.5115262843904,1097.3028426367357,1959,901
33,1,marine mammal,0.49521198868751526,1707.7327139759277,837.385035124218,1851.6010068087323,1245.8904421498955,1779,1041
33,3,marine mammal,0.4761766493320465,724.1939441719608,1115.6441651509376,843.8968678265425,1366.7110137716932,784,1241
36,2,marine mammal,0.2280925214290619,1899.0440856634045,714.5318862930333,2030.1906412604476,1109.2282460098595,1964,911
36,1,marine mammal,0.1470191925764084,1713.2417120673726,848.1011687895923,1858.1148146047221,1250.1975312668535,1785,1049
36,3,marine mammal,0.29435181617736816,736.6654850920081,1120.7433442297138,848.1932297808155,1361.3643127795167,792,1241
39,2,marine mammal,0.2280925214290619,1907.5261500400093,719.9048317828748,2037.5869568296844,1118.5645797489176,1972,919
39,1,whale,0.10147539526224136,1721.439868758662,855.8013690996407,1864.7375716685794,1172.29619599622,1793,1014
39,3,marine mammal,0.47586435079574585,751.6819354628493,1126.630038612992,852.0417124175132,1346.8679126699562,801,1236
42,2,marine mammal,0.2280925214290619,1915.9568544310055,730.0285507649797,2043.9282507777357,1131.9230452156576,1979,930
42,1,marine mammal,0.231510192155838,1732.3742269452175,864.1418238832787,1870.8303530847304,1202.2015652863363,1801,1033
42,3,marine mammal,0.34253332018852234,765.6581507306556,1130.4182041049091,854.1356206950406,1336.8754924864118,809,1233
45,2,marine mammal,0.2273242324590683,1925.9273582026412,740.6567841994753,2055.815657338142,1148.588836835206,1990,944
45,1,marine mammal,0.273050457239151,1736.6456400152124,872.7676973033905,1881.3987093192936,1229.5998314299113,1809,1051
45,3,marine mammal,0.34253332018852234,777.4007136008819,1139.605895325637,858.2353011958111,1335.7799483909919,817,1237
48,2,marine mammal,0.15435072779655457,1937.172298958061,780.5004080321686,2071.509255584391,1163.8277931510488,2004,972
48,1,marine mammal,0.4290205240249634,1747.9107585918532,879.7002209182668,1895.3123456037245,1252.838656453519,1821,1066
48,3,marine mammal,0.5530352592468262,783.2559840973337,1135.8424658608287,873.4192886295583,1352.2939411405832,828,1244
