frame,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
0,1,marine mammal,0.4550917148590088,2011.254150390625,293.88287353515625,2209.6640625,374.1315002441406,2110,334
3,1,marine mammal,0.15470395982265472,2028.7706298828125,323.738525390625,2193.983154296875,396.7297058105469,2111,360
9,1,marine mammal,0.17698629200458527,2045.750732421875,337.7154235839844,2252.19482421875,410.2293395996094,2148,373
30,1,marine mammal,0.16538581252098083,2021.6094970703125,320.611083984375,2340.913818359375,404.9292907714844,2181,362
33,1,marine mammal,0.16620174050331116,2014.467041015625,364.45928955078125,2340.821533203125,464.17059326171875,2177,414
36,1,marine mammal,0.423245906829834,1997.0638427734375,416.2593994140625,2262.244140625,510.84991455078125,2129,463
39,1,marine mammal,0.5316565632820129,1985.290771484375,468.8125305175781,2298.2275390625,569.1305541992188,2141,518
42,1,marine mammal,0.44602546095848083,1996.552978515625,526.9528198242188,2281.433837890625,626.302734375,2138,576
45,1,marine mammal,0.5604910850524902,2015.6483154296875,580.1494750976562,2332.104736328125,688.0818481445312,2173,634
48,1,marine mammal,0.19320207834243774,2039.84033203125,633.3961181640625,2383.94384765625,757.6148071289062,2211,695
51,1,marine mammal,0.6562599539756775,2059.2509765625,691.6207885742188,2406.17529296875,813.0579833984375,2232,752
54,1,marine mammal,0.5979933142662048,2066.7255859375,756.8018188476562,2412.605712890625,883.8079223632812,2239,820
60,7,whale,0.40682998299598694,2060.814208984375,835.9391479492188,2334.644775390625,936.9404296875,2197,886
63,7,whale,0.44444021582603455,2042.11962890625,839.0917358398438,2348.03271484375,950.5029907226562,2195,894
66,7,marine mammal,0.6798507571220398,2025.107177734375,815.0298461914062,2365.830078125,958.1525268554688,2195,886
69,7,whale,0.5857096910476685,2005.2890625,780.7874145507812,2315.1826171875,908.017333984375,2160,844
72,7,marine mammal,0.7057511806488037,1987.65576171875,745.90283203125,2313.095703125,896.13427734375,2150,821
75,7,whale,0.4854179322719574,1971.410400390625,717.9254150390625,2307.317138671875,855.2559814453125,2139,786
78,7,marine mammal,0.7760246396064758,1954.069091796875,685.1627197265625,2310.285400390625,848.7301025390625,2132,766
81,7,marine mammal,0.8282430768013,1950.8544921875,657.6331176757812,2311.728515625,833.306640625,2131,745
84,7,marine mammal,0.7993923425674438,1942.1173095703125,615.4578247070312,2308.66064453125,799.5875854492188,2125,707
87,7,marine mammal,0.8129531741142273,1935.0587158203125,592.119140625,2301.880859375,781.469970703125,2118,686
90,7,marine mammal,0.5805610418319702,1919.9342041015625,618.5863647460938,2287.26806640625,823.9618530273438,2103,721
93,7,marine mammal,0.6088761687278748,1891.154296875,669.1775512695312,2263.760009765625,877.3699951171875,2077,773
96,7,marine mammal,0.48498988151550293,1864.8536376953125,714.3753662109375,2240.596923828125,919.77099609375,2052,817
