frame,track_id,n_keypoints,rostrum_tip_x,rostrum_tip_y,rostrum_tip_conf,left_caudal_fluke_x,left_caudal_fluke_y,left_caudal_fluke_conf,right_caudal_fluke_x,right_caudal_fluke_y,right_caudal_fluke_conf,left_pect_fin_tip_x,left_pect_fin_tip_y,left_pect_fin_tip_conf,right_pect_fin_tip_x,right_pect_fin_tip_y,right_pect_fin_tip_conf,mid_saddle_patch_x,mid_saddle_patch_y,mid_saddle_patch_conf,Caudal_peduncle_x,Caudal_peduncle_y,Caudal_peduncle_conf
213,1,7,1884.0,784.0,0.8011,2164.0,1040.0,0.1529,2236.0,964.0,0.3898,1928.0,900.0,0.273,2016.0,804.0,0.3093,2036.0,896.0,0.6472,2176.0,980.0,0.3282
216,1,7,1882.0,776.0,0.8649,2162.0,1036.0,0.1513,2234.0,960.0,0.4324,1922.0,892.0,0.2742,2010.0,796.0,0.3283,2038.0,900.0,0.3648,2166.0,972.0,0.3195
219,1,7,1876.0,770.0,0.8691,2156.0,1026.0,0.1278,2228.0,954.0,0.4161,1916.0,890.0,0.2809,2004.0,790.0,0.3468,2028.0,886.0,0.6999,2168.0,970.0,0.3248
285,1,6,1744.0,611.0,0.9163,,,,2084.0,799.0,0.2216,1792.0,735.0,0.281,1868.0,627.0,0.4843,1904.0,727.0,0.8344,2072.0,687.0,0.1401
288,1,6,1735.0,602.0,0.6939,,,,2071.0,790.0,0.2894,1787.0,730.0,0.2229,1863.0,618.0,0.4584,1899.0,718.0,1.0765,2079.0,674.0,0.1294
303,1,7,1680.0,562.0,0.1984,1984.0,850.0,0.104,2092.0,634.0,0.1684,1796.0,594.0,0.1685,1832.0,598.0,0.3315,1872.0,698.0,0.142,2044.0,646.0,0.1643
309,1,5,1687.0,589.0,0.2232,,,,2115.0,629.0,0.2378,,,,1835.0,609.0,0.269,1863.0,705.0,0.7623,2055.0,645.0,0.1889
312,1,6,1689.0,588.0,0.5041,1697.0,604.0,0.1102,2129.0,632.0,0.1554,,,,1841.0,616.0,0.2134,1853.0,708.0,0.7589,2057.0,648.0,0.1739
315,1,6,1682.0,596.0,0.6087,,,,2102.0,644.0,0.1871,1734.0,704.0,0.1123,1830.0,612.0,0.1572,1854.0,712.0,0.6177,1978.0,796.0,0.1758
318,1,5,1683.0,599.0,0.6459,,,,2147.0,635.0,0.1436,,,,2055.0,815.0,0.1865,1851.0,715.0,0.4811,1979.0,799.0,0.2674
321,1,5,1677.0,602.0,0.7019,,,,2093.0,646.0,0.1342,,,,1825.0,614.0,0.2216,1845.0,718.0,0.3598,1973.0,802.0,0.2432
324,1,6,1677.0,605.0,0.626,,,,2049.0,805.0,0.1795,1741.0,737.0,0.1111,1829.0,617.0,0.2079,1841.0,721.0,0.5637,1977.0,809.0,0.2664
327,1,6,1677.0,611.0,0.6034,,,,2049.0,811.0,0.3165,1689.0,579.0,0.1001,1837.0,631.0,0.2036,1841.0,727.0,0.587,1977.0,815.0,0.2961
330,1,5,1677.0,618.0,0.5416,,,,2053.0,818.0,0.4071,,,,1845.0,642.0,0.2567,1841.0,734.0,0.581,1985.0,830.0,0.2904
333,1,7,1677.0,624.0,0.4375,1669.0,640.0,0.1167,2053.0,824.0,0.4419,1985.0,904.0,0.1222,1833.0,648.0,0.3399,1841.0,736.0,0.8594,1989.0,836.0,0.2695
336,1,5,1680.0,634.0,0.3753,,,,2060.0,830.0,0.5261,,,,1840.0,658.0,0.414,1844.0,742.0,0.9169,2068.0,674.0,0.1863
339,1,7,1684.0,638.0,0.3109,1676.0,646.0,0.1219,2068.0,842.0,0.4067,1696.0,602.0,0.1178,1848.0,666.0,0.3608,1848.0,750.0,0.8333,2028.0,686.0,0.1698
342,1,6,1688.0,641.0,0.3178,1684.0,645.0,0.1121,2068.0,845.0,0.2429,,,,1848.0,669.0,0.2938,1848.0,753.0,0.6478,2012.0,693.0,0.1624
345,1,6,1683.0,651.0,0.2037,1687.0,655.0,0.1693,2075.0,859.0,0.2528,,,,1855.0,675.0,0.3401,1851.0,759.0,0.6072,2035.0,695.0,0.1446
