frame,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
3,1,marine mammal,0.15470395982265472,2030.191407450527,323.0868210329234,2200.628909004694,397.72469247331776,2115,360
6,1,marine mammal,0.15470395982265472,2040.7021628320874,335.28684553359705,2213.148649203935,413.8770749612148,2126,374
9,1,marine mammal,0.17698629200458527,2049.140979447166,338.9843688484645,2241.299147193795,415.6733992257079,2145,377
12,1,marine mammal,0.17698629200458527,2059.626121558362,341.33295425046236,2256.932892897448,420.29844156274464,2158,380
15,1,marine mammal,0.17698629200458527,2059.389709551159,345.4308985897147,2265.0446321933264,426.9816474597419,2162,386
18,1,marine mammal,0.17698629200458527,2051.5385682444285,351.69931469730693,2264.7495110178575,435.45256292757654,2158,393
21,1,marine mammal,0.17698629200458527,2044.3974698425034,354.9952629589476,2263.8335933501544,440.904759800471,2154,397
24,1,marine mammal,0.17698629200458527,2032.5419425735877,342.6426341871131,2261.965341774689,430.74145404937303,2147,386
27,1,marine mammal,0.14642436802387238,2027.147734033602,329.49998456518296,2307.569850944412,416.81710577561233,2167,373
30,1,marine mammal,0.16538581252098083,2022.9526814631204,321.7510127622815,2334.36099271452,407.5843042629218,2178,364
33,1,marine mammal,0.16620174050331116,2010.2485288139978,365.5518298027085,2342.6514717921164,460.57230281745615,2176,413
36,1,marine mammal,0.423245906829834,1989.2405138946865,410.5694698490541,2286.9156318533464,505.7882300846234,2138,458
39,1,marine mammal,0.5316565632820129,1898.963885488453,460.9663553411249,2244.7163299168446,564.9273564673406,2071,512
42,1,marine mammal,0.44602546095848083,1962.6453899377111,519.1176980545499,2272.065579614549,620.3909752678537,2117,569
45,1,marine mammal,0.5604910850524902,2006.6928405137933,579.612176025245,2325.85564941708,686.1190804432044,2166,632
48,1,marine mammal,0.2967834174633026,2046.579954106898,642.9605845349754,2325.899031088214,744.681475178783,2186,693
51,1,marine mammal,0.6562599539756775,2076.083165884346,703.0240128789657,2379.7482389913066,810.5194700751438,2227,756
54,1,marine mammal,0.5979933142662048,2102.7497799634452,751.7702527923389,2411.0439516689776,870.1083536773411,2256,810
57,1,marine mammal,0.3960232138633728,2102.742332476289,811.4443658836641,2401.6509292687215,912.6961655831814,2252,862
60,1,whale,0.40682998299598694,2097.975081592856,841.4735401939163,2373.446802671834,940.4562587639234,2235,890
63,1,whale,0.44444021582603455,2081.6509795974293,847.161667719841,2361.0838464647304,949.715406294828,2221,898
66,1,marine mammal,0.6798507571220398,2059.2074681374697,824.0528060396393,2358.557112277185,946.741764001033,2208,885
69,1,whale,0.5857096910476685,2031.7183661307379,790.977640513557,2323.6812720197313,909.728855173374,2177,850
72,1,marine mammal,0.7057511806488037,2017.4406799479295,765.757405496197,2317.125139503668,898.8004668511365,2167,832
75,1,whale,0.4854179322719574,1984.6823813675285,733.2411519062763,2300.774763354984,864.9287973717119,2142,799
78,1,marine mammal,0.7760246396064758,1958.2924263816315,692.5213529952938,2300.701746399709,846.0834004054,2129,769
