frame,class_id,class_name,confidence,bbox
150,8,boat,0.3933456540107727,"[488.1105651855469, 624.4517822265625, 882.720703125, 753.1871948242188]"
150,14,bird,0.29924291372299194,"[1236.5343017578125, 235.54367065429688, 1273.98486328125, 288.525146484375]"
150,0,person,0.214496448636055,"[298.36029052734375, 461.266845703125, 318.1669921875, 485.86395263671875]"
165,14,bird,0.4231351315975189,"[286.1578674316406, 248.94859313964844, 372.0927429199219, 317.0450439453125]"
165,8,boat,0.3128330707550049,"[495.27685546875, 623.7464599609375, 910.1513671875, 752.871826171875]"
165,14,bird,0.31167492270469666,"[1234.4425048828125, 236.3101043701172, 1274.4664306640625, 290.8242492675781]"
180,14,bird,0.32553601264953613,"[1236.6990966796875, 236.205322265625, 1274.39501953125, 290.2393798828125]"
180,14,bird,0.23756316304206848,"[497.1825256347656, 619.381591796875, 1015.0726928710938, 755.279296875]"
195,4,airplane,0.41559380292892456,"[487.6224060058594, 626.8792114257812, 1051.1715087890625, 755.2791748046875]"
195,14,bird,0.2714587152004242,"[1235.5625, 236.2755889892578, 1274.650390625, 288.3292236328125]"
210,14,bird,0.29556700587272644,"[1236.057861328125, 235.64405822753906, 1277.9300537109375, 286.51165771484375]"
210,14,bird,0.29015764594078064,"[1236.877197265625, 233.8373565673828, 1308.2938232421875, 283.95477294921875]"
225,14,bird,0.3487434983253479,"[1236.0704345703125, 235.41481018066406, 1273.7674560546875, 288.39984130859375]"
225,0,person,0.29064714908599854,"[390.60333251953125, 467.3218688964844, 408.3145751953125, 493.0097351074219]"
240,14,bird,0.48134565353393555,"[1236.3314208984375, 235.30934143066406, 1274.6195068359375, 289.04364013671875]"
240,0,person,0.2682640254497528,"[1825.7244873046875, 184.6527557373047, 1912.7940673828125, 239.76255798339844]"
240,0,person,0.22489339113235474,"[394.9825744628906, 465.49542236328125, 413.8041687011719, 499.6249084472656]"
240,14,bird,0.220565065741539,"[1824.9345703125, 187.44918823242188, 1909.433349609375, 240.9038543701172]"
240,74,clock,0.20681361854076385,"[739.2280883789062, 237.2593231201172, 777.3561401367188, 291.99859619140625]"
255,14,bird,0.3587189018726349,"[1236.04150390625, 235.62428283691406, 1275.22119140625, 289.65887451171875]"
270,14,bird,0.35032740235328674,"[1236.51025390625, 235.99644470214844, 1274.109130859375, 289.9979553222656]"
285,14,bird,0.24387381970882416,"[1235.3111572265625, 236.32827758789062, 1274.432373046875, 290.2745666503906]"
300,0,person,0.4046553671360016,"[681.188232421875, 683.3790893554688, 728.5779418945312, 769.9055786132812]"
300,14,bird,0.2677867114543915,"[1236.881591796875, 236.3975372314453, 1274.772216796875, 289.1455078125]"
315,14,bird,0.23331859707832336,"[681.0855712890625, 688.462646484375, 720.05078125, 767.6544799804688]"
315,14,bird,0.23192782700061798,"[1235.010986328125, 235.87271118164062, 1274.64404296875, 290.7129821777344]"
330,0,person,0.5544679760932922,"[677.3975830078125, 699.568603515625, 713.7388916015625, 766.087158203125]"
330,14,bird,0.39037567377090454,"[1236.6788330078125, 235.4449005126953, 1275.8265380859375, 288.7790832519531]"
345,0,person,0.5399346947669983,"[674.6515502929688, 709.5679321289062, 702.0673828125, 767.9921264648438]"
345,14,bird,0.3988353908061981,"[1236.3240966796875, 235.71762084960938, 1274.1661376953125, 288.9917297363281]"
360,0,person,0.6340871453285217,"[670.5084838867188, 717.9391479492188, 696.9395751953125, 771.42041015625]"
360,14,bird,0.36759740114212036,"[1237.1458740234375, 236.34315490722656, 1274.340087890625, 289.3573913574219]"
375,0,person,0.5946646928787231,"[668.9156494140625, 722.020751953125, 693.6348876953125, 766.956298828125]"
375,14,bird,0.38904717564582825,"[1237.1634521484375, 235.94412231445312, 1273.3740234375, 287.3758850097656]"
390,0,person,0.5419509410858154,"[661.98583984375, 721.0043334960938, 688.683349609375, 759.26513671875]"
390,14,bird,0.48859092593193054,"[1235.2340087890625, 235.82858276367188, 1273.4765625, 288.7711486816406]"
405,0,person,0.20682571828365326,"[554.224365234375, 472.7962646484375, 571.3436279296875, 498.36383056640625]"
420,0,person,0.2143128514289856,"[646.2176513671875, 721.6238403320312, 667.8949584960938, 746.427490234375]"
435,0,person,0.28392016887664795,"[576.1653442382812, 462.8941955566406, 595.537353515625, 489.60186767578125]"
465,0,person,0.26802730560302734,"[586.9041748046875, 462.55572509765625, 608.6587524414062, 484.597412109375]"
480,37,surfboard,0.49208590388298035,"[738.6505737304688, 699.7874145507812, 1130.5848388671875, 738.166259765625]"
480,37,surfboard,0.2538648545742035,"[1003.5532836914062, 704.8657836914062, 1125.339599609375, 734.3482055664062]"
495,0,person,0.5329877734184265,"[990.8412475585938, 700.3998413085938, 1107.71630859375, 727.8557739257812]"
495,37,surfboard,0.2184593677520752,"[989.9600830078125, 701.075927734375, 1109.0408935546875, 730.4207763671875]"
510,0,person,0.41983339190483093,"[961.7713623046875, 687.58984375, 1101.2099609375, 723.6161499023438]"
510,14,bird,0.36931663751602173,"[48.04217529296875, 905.77587890625, 179.98440551757812, 971.1729125976562]"
510,0,person,0.23915207386016846,"[1071.9320068359375, 686.1907348632812, 1097.3074951171875, 722.9953002929688]"
510,37,surfboard,0.23322793841362,"[960.7401123046875, 694.3250122070312, 1100.9403076171875, 725.1841430664062]"
525,0,person,0.4150286912918091,"[1061.376708984375, 686.44189453125, 1091.121826171875, 719.2351684570312]"
540,0,person,0.22388654947280884,"[1058.59130859375, 693.392822265625, 1083.40283203125, 721.7906494140625]"
570,8,boat,0.6171852350234985,"[1443.987060546875, 328.6772766113281, 1537.51806640625, 402.32000732421875]"
570,14,bird,0.2133352905511856,"[1008.9541625976562, 641.5101928710938, 1285.7030029296875, 709.3082885742188]"
570,0,person,0.20029298961162567,"[1508.444091796875, 339.3538513183594, 1535.635498046875, 387.450439453125]"
585,8,boat,0.4508093595504761,"[1454.6597900390625, 327.2124938964844, 1544.873291015625, 399.2138671875]"
585,14,bird,0.20979861915111542,"[1009.2052001953125, 626.5759887695312, 1273.3726806640625, 702.82275390625]"
585,0,person,0.2057802677154541,"[1506.0311279296875, 336.02667236328125, 1541.58837890625, 383.0545654296875]"
600,8,boat,0.5572561621665955,"[1466.95751953125, 323.80450439453125, 1556.281982421875, 396.9573669433594]"
615,8,boat,0.46556299924850464,"[1477.4525146484375, 326.49884033203125, 1574.9715576171875, 399.9906005859375]"
630,8,boat,0.5770356059074402,"[1487.5478515625, 334.7190246582031, 1578.9071044921875, 408.1336975097656]"
630,8,boat,0.34655144810676575,"[946.8726196289062, 568.626708984375, 1271.34130859375, 713.9328002929688]"
630,14,bird,0.20855948328971863,"[43.58683776855469, 907.0140380859375, 187.68960571289062, 1049.33349609375]"
