frame,class_id,class_name,confidence,bbox
1110,0,whale,0.7159931063652039,"[573.8754272460938, 662.3258666992188, 853.2357788085938, 744.6612548828125]"
1110,4,dorsal fin,0.19584283232688904,"[576.3927612304688, 662.7257690429688, 849.28369140625, 742.3984375]"
1110,5,marine mammal,0.12185883522033691,"[1093.0667724609375, 697.3720703125, 1321.92919921875, 786.7919921875]"
1110,4,dorsal fin,0.08325297385454178,"[1092.59521484375, 698.7977294921875, 1218.491943359375, 782.8305053710938]"
1140,5,marine mammal,0.8818488121032715,"[526.1717529296875, 654.1790771484375, 1233.3609619140625, 761.4873046875]"
1140,0,whale,0.6631178259849548,"[1129.1666259765625, 707.6737670898438, 1227.397705078125, 755.6915283203125]"
1140,0,whale,0.4945177733898163,"[566.364501953125, 654.0027465820312, 890.5128173828125, 745.577880859375]"
1140,5,marine mammal,0.34709760546684265,"[567.3614501953125, 655.3297119140625, 890.3893432617188, 745.576904296875]"
1140,0,whale,0.10106588155031204,"[468.4925537109375, 653.307861328125, 1233.2200927734375, 762.7018432617188]"
1140,5,marine mammal,0.08275437355041504,"[1128.54541015625, 707.5540161132812, 1231.40966796875, 757.5044555664062]"
1170,5,marine mammal,0.9528896808624268,"[565.479736328125, 641.6138305664062, 1180.0465087890625, 772.3178100585938]"
1170,4,dorsal fin,0.25772732496261597,"[1066.5029296875, 643.1446533203125, 1177.4791259765625, 771.0829467773438]"
1170,5,marine mammal,0.10592299699783325,"[565.4346313476562, 653.7962036132812, 956.7557373046875, 758.2972412109375]"
1200,5,marine mammal,0.9686461091041565,"[558.3511962890625, 566.5435180664062, 1169.1302490234375, 783.040283203125]"
1200,4,dorsal fin,0.07138034701347351,"[1027.0777587890625, 568.2061767578125, 1168.1060791015625, 781.9578247070312]"
1200,5,marine mammal,0.05528026074171066,"[559.3529052734375, 654.613037109375, 1068.5501708984375, 776.9247436523438]"
1230,5,marine mammal,0.8496260643005371,"[543.09033203125, 524.9483642578125, 1182.9754638671875, 793.0147705078125]"
1260,5,marine mammal,0.8672243356704712,"[542.70849609375, 497.2679443359375, 1194.0711669921875, 799.0101928710938]"
1290,5,marine mammal,0.731561005115509,"[577.2271728515625, 489.24774169921875, 1189.02294921875, 791.7237548828125]"
1290,4,dorsal fin,0.0612388551235199,"[952.0264892578125, 488.98974609375, 1187.4261474609375, 787.6827392578125]"
1290,4,dorsal fin,0.0601273775100708,"[569.7350463867188, 725.5194702148438, 631.2880249023438, 768.36474609375]"
1290,4,dorsal fin,0.05792219936847687,"[715.459716796875, 742.1716918945312, 962.2913818359375, 790.8392944335938]"
1320,5,marine mammal,0.6283063292503357,"[580.53076171875, 463.3140563964844, 1174.69970703125, 790.1339721679688]"
1320,0,whale,0.5300426483154297,"[812.2571411132812, 462.3320617675781, 1171.5048828125, 779.9541015625]"
1320,5,marine mammal,0.5191751718521118,"[808.9312133789062, 462.9952697753906, 1171.8311767578125, 780.54931640625]"
1320,4,dorsal fin,0.05741798132658005,"[1028.0721435546875, 764.9254760742188, 1131.0509033203125, 796.5408325195312]"
1350,0,whale,0.5728135704994202,"[882.3663940429688, 439.8157653808594, 1184.6357421875, 782.235595703125]"
1350,5,marine mammal,0.24199599027633667,"[789.4696655273438, 439.675048828125, 1457.63525390625, 787.6585693359375]"
1350,0,whale,0.13178884983062744,"[815.7200317382812, 439.8076171875, 1460.9407958984375, 786.5599365234375]"
1350,5,marine mammal,0.06584540009498596,"[737.3904418945312, 439.5634460449219, 1263.935302734375, 787.6395874023438]"
1380,0,whale,0.11110108345746994,"[622.5819091796875, 444.2127685546875, 1251.02001953125, 781.8314208984375]"
1380,4,dorsal fin,0.05292792245745659,"[933.4569091796875, 444.8194885253906, 1120.096435546875, 769.4329833984375]"
1410,4,dorsal fin,0.38011810183525085,"[624.9684448242188, 565.5489501953125, 784.1275634765625, 774.5911254882812]"
1440,4,dorsal fin,0.32418128848075867,"[647.7724609375, 616.5028076171875, 776.1267700195312, 781.2473754882812]"
1440,0,whale,0.26119452714920044,"[820.040283203125, 746.4481201171875, 879.8504028320312, 797.873291015625]"
1440,4,dorsal fin,0.22535918653011322,"[819.3936767578125, 746.222900390625, 880.6142578125, 797.9588012695312]"
1470,4,dorsal fin,0.7034488320350647,"[664.9381713867188, 660.1368408203125, 774.3989868164062, 801.62841796875]"
1470,0,whale,0.6266796588897705,"[665.55126953125, 660.476806640625, 773.847900390625, 801.5541381835938]"
1470,4,dorsal fin,0.48539578914642334,"[850.607177734375, 753.67529296875, 908.3948974609375, 806.031005859375]"
1470,5,marine mammal,0.26337841153144836,"[851.0158081054688, 754.1818237304688, 908.7020874023438, 806.4622802734375]"
1500,5,marine mammal,0.728735089302063,"[878.2686767578125, 724.7064208984375, 948.39111328125, 814.146484375]"
1500,0,whale,0.6773008704185486,"[692.0790405273438, 701.6513061523438, 772.2991943359375, 805.458251953125]"
1500,4,dorsal fin,0.600008487701416,"[690.943603515625, 701.9175415039062, 773.11474609375, 806.3785400390625]"
