frame,class_name,confidence,bbox,num_merged,merged_classes
600,marine mammal,0.06250477582216263,"[1640.9560546875, 1053.3355712890625, 1722.01904296875, 1080.0]",1,{'marine mammal': 0.06250477582216263}
600,dorsal fin,0.055141717195510864,"[1057.8253173828125, 623.7584838867188, 1206.213623046875, 682.0389404296875]",1,{'dorsal fin': 0.055141717195510864}
630,whale,0.3746436536312103,"[949.811279296875, 569.1344604492188, 1270.26708984375, 714.4013671875]",1,{'whale': 0.20656952261924744}
630,whale,0.22296620905399323,"[1039.92626953125, 624.3872680664062, 1219.352783203125, 690.917724609375]",2,"{'whale': 0.22296620905399323, 'marine mammal': 0.1873769462108612}"
630,dorsal fin,0.21361353993415833,"[1227.2109375, 568.8934936523438, 1267.4000244140625, 702.5103759765625]",1,{'dorsal fin': 0.21361353993415833}
630,marine mammal,0.05158736929297447,"[39.55769729614258, 306.1640625, 81.95622253417969, 331.6575927734375]",1,{'marine mammal': 0.05158736929297447}
660,marine mammal,0.7733063101768494,"[1032.2076416015625, 554.9610595703125, 1273.256103515625, 727.2171630859375]",2,"{'marine mammal': 0.7733063101768494, 'whale': 0.6154158711433411}"
660,dorsal fin,0.19323597848415375,"[1033.4761962890625, 640.999267578125, 1266.569091796875, 726.4690551757812]",2,"{'dorsal fin': 0.19323597848415375, 'whale': 0.16439026594161987}"
660,dorsal fin,0.05488426238298416,"[1224.37353515625, 556.0675048828125, 1270.04736328125, 723.1185302734375]",1,{'dorsal fin': 0.05488426238298416}
690,marine mammal,0.8744980692863464,"[930.3328857421875, 553.6817016601562, 1281.2713623046875, 758.220947265625]",2,"{'marine mammal': 0.8744980692863464, 'killer whale': 0.14757953584194183}"
690,marine mammal,0.050453756004571915,"[933.2178955078125, 672.742919921875, 1274.0672607421875, 755.415771484375]",1,{'marine mammal': 0.050453756004571915}
720,marine mammal,0.807011604309082,"[908.8260498046875, 556.884765625, 1292.7686767578125, 788.0189819335938]",2,"{'marine mammal': 0.807011604309082, 'whale': 0.7427997589111328}"
720,marine mammal,0.14322316646575928,"[1015.7779541015625, 705.6520385742188, 1289.3345947265625, 787.2271728515625]",2,"{'marine mammal': 0.14322316646575928, 'whale': 0.0786292552947998}"
720,marine mammal,0.14183513820171356,"[908.4508666992188, 736.575439453125, 993.8058471679688, 781.046630859375]",1,{'marine mammal': 0.14183513820171356}
750,marine mammal,0.8118450045585632,"[1004.6167602539062, 557.8515014648438, 1306.8450927734375, 814.0709838867188]",2,"{'marine mammal': 0.8118450045585632, 'whale': 0.6369331479072571}"
750,whale,0.11080850660800934,"[1004.7410888671875, 732.3912963867188, 1304.803466796875, 812.250732421875]",1,{'whale': 0.11080850660800934}
780,marine mammal,0.7552259564399719,"[996.0643310546875, 566.0740966796875, 1328.2576904296875, 835.8820190429688]",2,"{'marine mammal': 0.7552259564399719, 'whale': 0.6792759299278259}"
810,whale,0.7834364175796509,"[1002.5335693359375, 573.287353515625, 1363.8402099609375, 849.9234619140625]",2,"{'whale': 0.7834364175796509, 'marine mammal': 0.7649741172790527}"
840,marine mammal,0.3174380362033844,"[1164.649658203125, 581.8825073242188, 1365.2186279296875, 854.903564453125]",2,"{'marine mammal': 0.3174380362033844, 'whale': 0.24417217075824738}"
840,marine mammal,0.12665040791034698,"[1671.1820068359375, 464.8902282714844, 1761.0047607421875, 539.1460571289062]",2,"{'marine mammal': 0.12665040791034698, 'whale': 0.10606496781110764}"
870,whale,0.7040557861328125,"[587.7728881835938, 492.4692077636719, 1145.1595458984375, 788.9761962890625]",2,"{'whale': 0.7040557861328125, 'marine mammal': 0.6954556107521057}"
900,marine mammal,0.8791792392730713,"[570.2297973632812, 468.4566650390625, 1137.25830078125, 788.9672241210938]",1,{'marine mammal': 0.8791792392730713}
930,marine mammal,0.8967303037643433,"[561.6959838867188, 451.7977294921875, 1104.9383544921875, 788.8276977539062]",2,"{'marine mammal': 0.8967303037643433, 'whale': 0.3829803168773651}"
