frame,class_id,class_name,confidence,bbox
0,5,marine mammal,0.4550917148590088,"[2011.2540283203125, 293.8829040527344, 2209.663818359375, 374.13153076171875]"
0,0,whale,0.14456325769424438,"[2011.840576171875, 294.9951477050781, 2204.373046875, 371.27105712890625]"
0,0,whale,0.06617430597543716,"[2106.27392578125, 307.3802795410156, 2204.61962890625, 361.7779846191406]"
10,5,marine mammal,0.1589149534702301,"[2053.713134765625, 337.4696350097656, 2207.76611328125, 406.5597229003906]"
10,5,marine mammal,0.10062166303396225,"[2049.669677734375, 338.5643310546875, 2339.166748046875, 414.1888122558594]"
10,5,marine mammal,0.07499655336141586,"[2071.248779296875, 339.9765930175781, 2190.77197265625, 396.2568054199219]"
10,0,whale,0.054889652878046036,"[2050.54052734375, 342.2677917480469, 2337.022216796875, 416.781005859375]"
30,5,marine mammal,0.16538581252098083,"[2022.1776123046875, 321.3120422363281, 2343.246337890625, 405.0418701171875]"
40,5,marine mammal,0.5666120648384094,"[1986.65478515625, 486.68829345703125, 2315.656494140625, 581.16943359375]"
40,0,whale,0.0807412788271904,"[1989.34326171875, 486.82763671875, 2307.2568359375, 574.9224243164062]"
40,0,whale,0.06626931577920914,"[1988.63818359375, 487.7442626953125, 2187.932373046875, 575.5037841796875]"
50,5,marine mammal,0.5362832546234131,"[2060.8203125, 672.3306884765625, 2313.4384765625, 769.6820068359375]"
50,5,marine mammal,0.32038840651512146,"[2054.19091796875, 669.2576293945312, 2399.3173828125, 785.3867797851562]"
50,0,whale,0.10674522817134857,"[2058.1943359375, 671.0675048828125, 2307.915771484375, 767.0927734375]"
60,0,whale,0.40682998299598694,"[2063.09716796875, 837.4465942382812, 2338.654052734375, 938.1505737304688]"
60,5,marine mammal,0.07236608117818832,"[2060.14990234375, 836.9452514648438, 2408.466796875, 960.88623046875]"
70,5,marine mammal,0.7262433767318726,"[2000.484375, 773.0198364257812, 2334.609375, 917.6808471679688]"
70,0,whale,0.5671924948692322,"[2002.981689453125, 773.515869140625, 2334.377197265625, 908.2705078125]"
80,5,marine mammal,0.8235293030738831,"[1944.4552001953125, 665.0270385742188, 2308.274658203125, 830.4302368164062]"
