frame,class_name,confidence,bbox,num_merged,merged_classes
945,whale,0.2274862676858902,"[1606.9013671875, 789.6498413085938, 2091.385986328125, 1133.74560546875]",1,{'whale': 0.22696764767169952}
945,whale,0.12214148789644241,"[1608.528076171875, 790.9868774414062, 1890.0919189453125, 972.0910034179688]",2,"{'whale': 0.12214148789644241, 'dorsal fin': 0.08607249706983566}"
960,whale,0.31012460589408875,"[1574.7410888671875, 765.2003173828125, 2049.81689453125, 1105.722412109375]",2,"{'whale': 0.31012460589408875, 'marine mammal': 0.11961667239665985}"
975,whale,0.761722207069397,"[1542.339111328125, 764.4620361328125, 2046.8250732421875, 1113.9583740234375]",2,"{'whale': 0.761722207069397, 'marine mammal': 0.6596030592918396}"
990,whale,0.650130033493042,"[1529.99072265625, 819.1642456054688, 2055.3232421875, 1180.2620849609375]",1,{'whale': 0.650130033493042}
1005,whale,0.3472045958042145,"[1535.67626953125, 901.42236328125, 2028.8975830078125, 1287.66064453125]",1,{'whale': 0.3472045958042145}
1005,dorsal fin,0.06209418177604675,"[1936.4366455078125, 1135.9874267578125, 2035.2821044921875, 1260.29541015625]",1,{'dorsal fin': 0.06209418177604675}
1020,whale,0.18722191452980042,"[1523.5850830078125, 988.2775268554688, 1989.7584228515625, 1369.3038330078125]",2,"{'whale': 0.18722191452980042, 'marine mammal': 0.12110424041748047}"
1035,marine mammal,0.1940690279006958,"[1503.2777099609375, 1082.119384765625, 2013.69775390625, 1459.0548095703125]",2,"{'marine mammal': 0.1940690279006958, 'whale': 0.15245270729064941}"
1050,whale,0.13547785580158234,"[1482.7384033203125, 1165.4393310546875, 1803.415771484375, 1379.9188232421875]",1,{'whale': 0.13547785580158234}
1050,whale,0.08321462571620941,"[1484.270751953125, 1164.2318115234375, 2039.7506103515625, 1523.9732666015625]",1,{'whale': 0.08321462571620941}
1065,whale,0.22666895389556885,"[1456.830322265625, 1238.41162109375, 2068.81201171875, 1679.4010009765625]",1,{'whale': 0.22666895389556885}
1080,marine mammal,0.16195102035999298,"[1561.7347412109375, 1383.58154296875, 1607.526123046875, 1435.0411376953125]",1,{'marine mammal': 0.16195102035999298}
1080,whale,0.10551249235868454,"[1445.579345703125, 1258.03173828125, 1956.5758056640625, 1656.90380859375]",1,{'whale': 0.10551249235868454}
1080,dorsal fin,0.10115775465965271,"[1446.5831298828125, 1258.733642578125, 1729.0789794921875, 1435.24072265625]",2,"{'dorsal fin': 0.10115775465965271, 'whale': 0.10076501965522766}"
1095,whale,0.31213510036468506,"[1459.87109375, 1241.292236328125, 1737.07958984375, 1417.2950439453125]",2,"{'whale': 0.31213510036468506, 'dorsal fin': 0.1143830195069313}"
